Material,Engagement [mm],Fastener [Mx],Pullout Load [N],Assembly Torque [Nm],100% Torque [Nm]
Aluminum 6061-T6,1.6,1.1,290.47,0.0,0.1
Aluminum 6061-T6,1.6,1.2,321.16,0.0,0.1
Aluminum 6061-T6,1.6,1.4,372.76,0.1,0.1
Aluminum 6061-T6,1.6,1.6,424.8,0.1,0.1
Aluminum 6061-T6,1.6,1.8,486.64,0.1,0.2
Aluminum 6061-T6,1.6,2,538.68,0.1,0.2
Aluminum 6061-T6,1.6,2.2,590.28,0.2,0.3
Aluminum 6061-T6,1.6,2.5,683.25,0.2,0.3
Aluminum 6061-T6,1.6,3,827.81,0.3,0.5
Aluminum 6061-T6,3.2,2,1076.91,0.3,0.4
Aluminum 6061-T6,3.2,2.2,1181.0,0.3,0.5
Aluminum 6061-T6,3.2,2.5,1366.49,0.4,0.7
Aluminum 6061-T6,3.2,3,1655.63,0.6,1.0
Aluminum 6061-T6,3.2,3.5,1924.74,0.9,1.3
Aluminum 6061-T6,3.2,4,2194.31,1.1,1.8
Aluminum 6061-T6,3.2,4.5,2483.89,1.5,2.2
Aluminum 6061-T6,3.2,5,2773.02,1.8,2.8
Aluminum 6061-T6,3.2,6,3311.25,2.6,4.0
Aluminum 6061-T6,3.2,7,3930.45,3.6,5.5
Aluminum 6061-T6,4.8,3,2483.44,1.0,1.5
Aluminum 6061-T6,4.8,3.5,2887.34,1.3,2.0
Aluminum 6061-T6,4.8,4,3291.24,1.7,2.6
Aluminum 6061-T6,4.8,4.5,3725.83,2.2,3.4
Aluminum 6061-T6,4.8,5,4159.53,2.7,4.2
Aluminum 6061-T6,4.8,6,4966.88,3.9,6.0
Aluminum 6061-T6,4.8,7,5895.67,5.4,8.3
Aluminum 6061-T6,4.8,8,6673.66,6.9,10.7
Aluminum 6061-T6,4.8,9,7602.01,8.9,13.7
Aluminum 6061-T6,4.8,10,8380.0,10.9,16.8
Aluminum 6061-T6,4.8,11,9308.34,13.3,20.5
Aluminum 6061-T6,6.3,4,4388.17,2.3,3.5
Aluminum 6061-T6,6.3,4.5,4967.77,2.9,4.5
Aluminum 6061-T6,6.3,5,5545.59,3.6,5.5
Aluminum 6061-T6,6.3,6,6622.95,5.2,7.9
Aluminum 6061-T6,6.3,7,7860.45,7.2,11.0
Aluminum 6061-T6,6.3,8,8898.22,9.3,14.2
Aluminum 6061-T6,6.3,9,10135.71,11.9,18.2
Aluminum 6061-T6,6.3,10,11173.48,14.5,22.3
Aluminum 6061-T6,6.3,11,12410.98,17.7,27.3
Aluminum 6061-T6,6.3,12,13447.41,21.0,32.3
Aluminum 6061-T6,6.3,14,15722.67,28.6,44.0
Aluminum 6061-T6,6.3,16,18198.55,37.8,58.2
Aluminum 6061-T6,7.9,5,6932.1,4.5,6.9
Aluminum 6061-T6,7.9,6,8278.58,6.5,9.9
Aluminum 6061-T6,7.9,7,9825.67,8.9,13.8
Aluminum 6061-T6,7.9,8,11122.33,11.6,17.8
Aluminum 6061-T6,7.9,9,12669.86,14.8,22.8
Aluminum 6061-T6,7.9,10,13966.52,18.2,27.9
Aluminum 6061-T6,7.9,11,15514.05,22.2,34.1
Aluminum 6061-T6,7.9,12,16808.93,26.2,40.3
Aluminum 6061-T6,7.9,14,19653.12,35.8,55.0
Aluminum 6061-T6,7.9,16,22747.75,47.3,72.8
Aluminum 6061-T6,7.9,18,25339.72,59.3,91.2
Aluminum 6061-T6,7.9,20,28434.35,73.9,113.7
Aluminum 6061-T6,7.9,22,31529.42,90.2,138.7
Aluminum 6061-T6,9.5,6,9934.21,7.8,11.9
Aluminum 6061-T6,9.5,7,11790.89,10.7,16.5
Aluminum 6061-T6,9.5,8,13346.88,13.9,21.4
Aluminum 6061-T6,9.5,9,15204.01,17.8,27.4
Aluminum 6061-T6,9.5,10,16760.0,21.8,33.5
Aluminum 6061-T6,9.5,11,18616.69,26.6,41.0
Aluminum 6061-T6,9.5,12,20170.89,31.5,48.4
Aluminum 6061-T6,9.5,14,23584.01,42.9,66.0
Aluminum 6061-T6,9.5,16,27297.39,56.8,87.3
Aluminum 6061-T6,9.5,18,30407.58,71.2,109.5
Aluminum 6061-T6,9.5,20,34121.4,88.7,136.5
Aluminum 6061-T6,9.5,22,37835.22,108.2,166.5
Aluminum 6061-T6,9.5,24,40945.41,127.8,196.5
Aluminum 6061-T6,9.5,27,46515.91,163.3,251.2
Aluminum 6061-T6,11.1,7,13756.12,12.5,19.3
Aluminum 6061-T6,11.1,8,15571.44,16.2,24.9
Aluminum 6061-T6,11.1,9,17737.72,20.8,31.9
Aluminum 6061-T6,11.1,10,19553.04,25.4,39.1
Aluminum 6061-T6,11.1,11,21719.32,31.1,47.8
Aluminum 6061-T6,11.1,12,23532.86,36.7,56.5
Aluminum 6061-T6,11.1,14,27514.46,50.1,77.0
Aluminum 6061-T6,11.1,16,31847.02,66.2,101.9
Aluminum 6061-T6,11.1,18,35475.88,83.0,127.7
Aluminum 6061-T6,11.1,20,39808.45,103.5,159.2
Aluminum 6061-T6,11.1,22,44141.01,126.2,194.2
Aluminum 6061-T6,11.1,24,47769.42,149.0,229.3
Aluminum 6061-T6,11.1,27,54268.72,190.5,293.0
Aluminum 6061-T6,11.1,30,60065.63,234.3,360.4
Aluminum 6061-T6,11.1,33,66564.48,285.6,439.3
Aluminum 6061-T6,12.7,8,17795.99,18.5,28.5
Aluminum 6061-T6,12.7,9,20271.87,23.7,36.5
Aluminum 6061-T6,12.7,10,22346.52,29.0,44.7
Aluminum 6061-T6,12.7,11,24822.4,35.5,54.6
Aluminum 6061-T6,12.7,12,26894.38,42.0,64.5
Aluminum 6061-T6,12.7,14,31444.9,57.2,88.0
Aluminum 6061-T6,12.7,16,36396.66,75.7,116.5
Aluminum 6061-T6,12.7,18,40543.74,94.9,146.0
Aluminum 6061-T6,12.7,20,45495.05,118.3,182.0
Aluminum 6061-T6,12.7,22,50446.81,144.3,222.0
Aluminum 6061-T6,12.7,24,54593.88,170.3,262.0
Aluminum 6061-T6,12.7,27,62021.07,217.7,334.9
Aluminum 6061-T6,12.7,30,68646.25,267.7,411.9
Aluminum 6061-T6,12.7,33,76073.88,326.4,502.1
Aluminum 6061-T6,12.7,36,82696.39,387.0,595.4
Aluminum 6061-T6,12.7,39,90124.03,456.9,703.0
Aluminum 6061-T6,14.3,9,22805.57,26.7,41.0
Aluminum 6061-T6,14.3,10,25140.0,32.7,50.3
Aluminum 6061-T6,14.3,11,27925.03,39.9,61.4
Aluminum 6061-T6,14.3,12,30256.34,47.2,72.6
Aluminum 6061-T6,14.3,14,35375.8,64.4,99.1
Aluminum 6061-T6,14.3,16,40946.3,85.2,131.0
Aluminum 6061-T6,14.3,18,45611.59,106.7,164.2
